row ID,row m/z,row retention time,20221207_Dac_C18_100MeOH_ddMS2.raw Peak area,20221221_Dat_C18_100MeOH_ddMS2.raw Peak area,20221207_Dau_C18_100MeOH_ddMS2.raw Peak area,20221105_Dax_100MeOH_ddMS2.raw Peak area,20221105_Dbh_100MeOH_ddMS2.raw Peak area,20240421_Ddepauperate_100MeOH_2_ddMS.raw Peak area,20221207_Dfe_C18_100MeOH_ddMS2.raw Peak area,20221207_Dgi_C18_100MeOH_ddMS2.raw Peak area,20221105_Dgr_100MeOH_ddMS2.raw Peak area,20240421_Dholosericea_100MeOH_ddMS.raw Peak area,20221105_DjeFt_100MeOH_2021Sample_ddMS2.raw Peak area,20240428_DjezoensisFlower_100MeOH_ddMS.raw Peak area,20240421_Dkiusiana_var_100MeOH_ddMS.raw Peak area,20230410_Dob_SepPak100MeOH_ddMS2.raw Peak area,20240428_DodoraFlower_100MeOH_ddMS.raw Peak area,20230410_Dols_SepPak100MeOH_ddMS2.raw Peak area,20230410_Dor_SepPak100MeOH_ddMS2.raw Peak area,20230410_Doss_SepPak100MeOH_ddMS2.raw Peak area,20221221_Dpa_C18_100MeOH_ddMS2.raw Peak area,20221105_Dpe_100MeOH_ddMS2.raw Peak area,20230413_Dpof_100MeOH_ddMS2.raw Peak area,20230413_Dpol_100MeOH_ddMS2.raw Peak area,20230413_DpoS_100MeOH_ddMS2.raw Peak area,20240428_DpseudomezereumFlower_100MeOH_ddMS.raw Peak area,20221105_DpsFt_100MeOH_2021Sample_ddMS2.raw Peak area,20221221_Dre_C18_100MeOH_ddMS2.raw Peak area,20221105_Dta_100MeOH_ddMS2.raw Peak area,20221207_Dyu_C18_100MeOH_ddMS2.raw Peak area,20240421_Ealbuflora_100MeOH_ddMS.raw Peak area,20240428_EchrysanthaBud_100MeOH_ddMS.raw Peak area,20230528_Ech_100MeOH_ddMS2.raw Peak area,20240706_Ecft_AcOEtSepPackC18_100MeOH_ddMS.raw Peak area,20240428_EchrysanthaLeaf_100MeOH_ddMS.raw Peak area,20240428_EchrysanthaStem_100MeOH_ddMS.raw Peak area,20230528_Ega_100MeOH_ddMS2.raw Peak area,20230528_Sch_100MeOH_ddMS2.raw Peak area,20230217_Wal100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wca100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20240421_Wdelavayi_100MeOH_ddMS.raw Peak area,20230217_Wdo100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wil100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wis100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wla100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wle100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wli100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wlr100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20240421_Wlungtzeensi_100MeOH_ddMS.raw Peak area,20240421_Wmicrantha_100MeOH_ddMS.raw Peak area,20230528_Wnu2_100MeOH_ddMS2.raw Peak area,20230217_Wpa100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wpi100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wsc100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20230217_Wst100MeOH_ultra_ddMS_POS1520_NEG10.raw Peak area,20240421_Wtrichotoma_100MeOH_ddMS.raw Peak area,20240428_DgenkwaFlower_100MeOH_ddMS.raw Peak area,20221207_Dge_C18_100MeOH_ddMS2.raw Peak area
11,647.2846985,10.4773655,1.04E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4853386.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,649.3002014,10.761617,1.04E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,315.0863364,3.962867886,9.71E+07,1.48E+07,6.38E+08,1530474.965,1.13E+07,0,1721509.716,9747763.47,879174.9987,0,0,0,1.54E+07,0,0,810322.382,0,3908293.314,1246430.689,1.34E+07,0,0,0,0,0,3.20E+07,594066.7333,3.78E+07,0,0,0,0,0,0,0,0,0,2.45E+08,0,0,0,0,0,0,2709160.94,0,0,1.17E+07,0,0,0,4.27E+08,0,0,0,3645141.881
14,603.2220993,6.799959225,5.95E+07,0,0,0,0,0,0,6.93E+07,0,0,4.40E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,602.1776911,5.424734898,5.64E+07,5.12E+07,2.83E+07,6.41E+07,0,1.80E+07,6.27E+07,2.42E+07,8.92E+07,1.48E+07,0,4.58E+07,1.53E+07,9.02E+07,0,3.44E+07,5.07E+07,1.31E+07,6.54E+07,2.61E+07,3.03E+07,3.77E+07,3.61E+07,4.01E+07,0,6.11E+07,4.98E+07,0,3.31E+07,1.51E+07,1.63E+07,2.73E+07,8.83E+07,4340472.917,1.09E+07,0,0,6.07E+07,3.01E+07,4.63E+07,6.71E+07,4.93E+07,3.51E+07,5.10E+07,0,3.24E+07,3.03E+07,4.64E+07,1.78E+07,5.03E+07,1.93E+07,2.38E+07,1.58E+07,1.40E+07,2987264.236,4.61E+07
16,585.2692803,8.210151778,5.71E+07,0,0,1295131.48,2.37E+07,0,0,5398646.879,0,0,0,0,0,0,0,0,1066955.308,0,2.23E+07,0,0,1.19E+08,3.63E+08,0,0,0,4586681.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,541.2070414,4.297588633,5.18E+07,0,0,3.93E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7737304.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,558.151549,5.422213076,5.40E+07,4.81E+07,2.64E+07,6.10E+07,0,1.20E+07,5.98E+07,2.29E+07,8.42E+07,1.00E+07,0,4.02E+07,9834269.226,8.66E+07,1869840.359,3.18E+07,4.99E+07,1.27E+07,6.13E+07,2.42E+07,2.84E+07,3.49E+07,3.37E+07,3.43E+07,0,5.57E+07,4.59E+07,5.40E+07,2.31E+07,1.10E+07,1.60E+07,1.74E+07,7.48E+07,3662494.908,1.02E+07,0,0,5.72E+07,2.06E+07,4.32E+07,5.78E+07,4.54E+07,3.20E+07,4.69E+07,0,3.00E+07,1.86E+07,3.19E+07,1.64E+07,4.47E+07,1.78E+07,2.17E+07,0,9578711.947,2835891.21,4.34E+07
19,621.2704241,13.66497026,5.98E+07,7.33E+07,1.77E+07,2.43E+08,0,5415884.645,1.46E+08,0,0,1.58E+07,0,0,1.52E+07,0,0,1.21E+07,0,0,2.36E+08,1.63E+07,0,0,0,0,0,1.57E+08,9818435.168,2.84E+08,9862399.146,0,2.77E+07,0,0,0,6059858.959,0,8.33E+07,0,0,2.17E+08,1.08E+07,0,5355471.737,4.63E+07,1.41E+07,4305436.876,3070813.942,0,0,4.86E+08,3.20E+07,5.47E+07,3.80E+07,1.22E+07,0,5.80E+08
20,646.2036462,5.400088163,3.97E+07,3.88E+07,2.38E+07,4.84E+07,5.33E+07,1.62E+07,4.83E+07,2.01E+07,6.34E+07,1.55E+07,0,3.39E+07,1.49E+07,7.46E+07,0,2.94E+07,4.33E+07,1.06E+07,4.70E+07,1.88E+07,2.52E+07,3.13E+07,3.11E+07,3.31E+07,0,4.22E+07,3.78E+07,5.02E+07,2.96E+07,1.13E+07,1.25E+07,2.95E+07,6.59E+07,3549770.12,9204884.118,0,4.36E+07,5.15E+07,3.18E+07,3.90E+07,5.26E+07,4.05E+07,2.92E+07,4.00E+07,4.20E+07,2.59E+07,2.91E+07,4.68E+07,1.34E+07,4.22E+07,1.53E+07,1.72E+07,1.28E+07,1.51E+07,0,3.58E+07
21,585.3421539,13.5800472,4.04E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21E+08,2.88E+08,4.63E+08,0,0,0,0,0,0,0,0,0,0,0,0,1.80E+08,0,0,0,0,3.53E+07,2.62E+08,6844894.977,0,7045971.867,0,0,0,0,0,0,0,3873902.718,0,0,0
22,387.106793,1.691821507,2.62E+07,9.73E+07,0,0,0,0,1.71E+07,2.13E+08,1.16E+07,0,0,0,4886552.812,3.44E+07,0,5.25E+07,3.23E+07,7.54E+07,8.31E+07,0,0,0,0,7718464.392,0,1.19E+08,0,9.84E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,501.2127319,3.54773034,3.88E+07,0,0,0,0,0,0,1.01E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71E+07,2971043.456,0,0,0,6277752.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,529.1484462,1.5868952,3.27E+07,0,2307631.576,0,0,9955361.322,0,0,2.24E+08,0,0,0,0,0,0,0,3.58E+07,0,1.53E+08,0,0,0,0,0,0,0,0,7.45E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,637.3367593,12.87609229,3.72E+07,6938173.509,0,0,1.15E+07,0,2.09E+07,1.84E+07,5.10E+07,0,0,0,0,8358639.108,0,0,8002084.261,0,0,0,0,0,0,0,0,1.19E+08,2.35E+08,0,0,0,5570246.515,0,0,0,0,0,0,0,0,0,0,0,0,5.17E+08,1.91E+07,2.67E+07,0,0,0,0,0,0,0,0,0,0
26,485.2173309,4.696801463,3.25E+07,0,0,0,0,0,0,5793405.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8645262.458,3105633.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683953.1229,0,1907627.983,0,2095110.481,0,0,213335.649,0,0,0,0
27,559.1233128,1.407567843,2.88E+07,1553409.004,0,3406289.296,0,0,0,0,1.00E+07,0,0,0,2229547.005,0,0,0,0,0,9378067.245,0,0,0,8351328.825,0,0,1680930.172,0,9.66E+07,0,0,0,0,0,0,0,7343158.917,8853017.071,2.04E+08,0,1.07E+08,8.05E+07,1.62E+07,0,0,3356721.473,6.03E+07,304816.1961,0,239916.7672,0,0,6.51E+07,0,0,0,1.47E+08
28,975.5447126,14.66782721,4.36E+07,0,6518968.937,4.13E+07,1.30E+07,0,5.56E+07,0,6.73E+07,0,0,0,0,0,0,0,0,0,2.20E+07,0,0,0,0,0,1.28E+07,1.84E+07,0,5.57E+07,0,0,0,0,0,0,0,0,0,1.19E+07,0,1.40E+07,0,0,0,0,0,0,0,0,0,0,0,0,2659786.76,0,0,1.39E+07
29,357.0964622,1.7864855,3.59E+07,1.52E+07,0,2.30E+07,4.50E+07,5890532.601,0,2.83E+07,0,0,0,2237408.068,0,8035396.024,0,1.29E+07,6971302.853,1.31E+07,9372830.986,0,0,0,0,2222400.059,0,3.32E+07,636108.6573,1.10E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,527.2640228,8.629195042,3.23E+07,1.61E+07,0,0,4.32E+08,0,0,1.76E+07,0,0,0,0,0,0,0,0,0,0,8822896.906,0,0,5.45E+07,4.09E+08,0,0,1.29E+08,8.86E+07,0,0,0,718791.8347,0,0,0,0,0,0,0,0,0,0,0,0,0,5453488.113,0,0,0,0,0,0,0,0,0,0,2952373.991
31,649.2999827,10.16706617,3.20E+07,0,0,0,0,0,0,2.85E+07,0,0,0,0,0,0,0,0,3.05E+07,9542234.61,0,0,0,0,0,0,1.30E+07,0,2.60E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,609.2701893,12.5607705,3.29E+07,0,2.51E+07,4.70E+07,4.42E+07,0,5.37E+07,1.04E+07,4.31E+07,0,0,0,0,0,0,4.76E+07,0,2.30E+07,7.70E+07,1.77E+07,2137497.157,3.00E+08,1.30E+08,0,0,2.77E+07,9175552.178,1.08E+07,0,0,7.79E+07,0,0,0,8262786.728,0,7.52E+07,4.67E+08,0,2.84E+08,2.06E+07,0,1.90E+07,1.76E+08,3.17E+07,1070727.618,0,0,1109789.227,1.18E+08,1.71E+08,1.98E+07,5249533.124,0,0,0
33,523.1722717,4.9047183,3.25E+07,0,0,0,0,0,0,9346104.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,690.2299902,5.359044906,2.53E+07,2.41E+07,1.41E+07,3.23E+07,3.32E+07,1.07E+07,2.75E+07,0,4.36E+07,9946788.087,0,2.05E+07,9342858.474,4.19E+07,0,1.58E+07,2.75E+07,5626745.103,2.98E+07,1.19E+07,1.37E+07,1.76E+07,1.73E+07,2.04E+07,0,2.72E+07,2.49E+07,2.57E+07,1.99E+07,7243106.163,7331504.37,1.98E+07,4.16E+07,2369179.244,4980380.695,0,2.84E+07,2.65E+07,2.03E+07,2.13E+07,3.25E+07,2.14E+07,1.59E+07,2.11E+07,2.52E+07,1.48E+07,1.96E+07,3.11E+07,8670983.506,2.38E+07,8798318.449,1.07E+07,0,9824962.946,1698972.745,2.05E+07
35,514.1254398,5.420629346,2.74E+07,2.47E+07,1.61E+07,3.09E+07,0,4799705.079,2.21E+07,1.22E+07,4.42E+07,0,0,1.86E+07,4075914.266,4.09E+07,0,1.23E+07,2.80E+07,0,2.87E+07,1.17E+07,1.49E+07,1.91E+07,1.77E+07,1.68E+07,0,2.53E+07,2.18E+07,0,1.06E+07,3366918.429,8846051.043,6542245.866,3.51E+07,0,6166976.7,0,0,2.76E+07,8097287.061,2.07E+07,0,0,1.56E+07,2.28E+07,0,1.19E+07,7731027.272,1.33E+07,8339528.474,0,8440208.124,0,0,3980516.9,0,2.06E+07
36,629.4021497,14.64327875,3.03E+07,0,5830122.321,8246517.136,6030464.87,0,4517037.035,0,0,2773580.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E+07,0,935990.9906,3.80E+07,0,0,0,1500144.407,3430776.853,2.12E+07,2.56E+07,2753972.898,1.44E+07,1.89E+07,8030635.973,1.43E+07,1.94E+07,1.74E+07,1.10E+07,0,3559605.682,2220914.438,3.58E+07,3567186.884,3.65E+07,7453151.929,0,4096335.713,0
37,808.4347839,1.9555244,2.45E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,607.420293,14.68006452,2.92E+07,1.82E+07,0,6361597.007,3.11E+07,0,3.69E+07,3442880.955,1.34E+07,5178128.812,0,0,2157894.881,0,0,0,0,2182578.045,0,1.06E+07,0,0,0,0,0,0,0,1.79E+07,0,3.36E+07,1.32E+08,1.86E+07,0,3112417.791,2413026.599,9148460.712,2.00E+07,0,0,1.48E+07,1.87E+07,6116643.189,1.24E+07,0,1.44E+07,9068625.015,4676442.094,0,4300627.228,3.53E+07,0,3.21E+07,5925419.247,0,1.07E+07,0
39,591.2585409,8.834981243,2.49E+07,8167629.666,0,0,4638095.357,0,1.47E+07,1.76E+07,0,0,5.45E+08,0,0,0,0,0,8796486.765,1678256.101,5.93E+07,2170270.297,0,0,0,0,2.32E+09,1.36E+07,0,0,0,0,2001566.131,0,0,0,0,0,904373.7045,1731154.243,0,6114522.064,0,0,2.50E+07,0,3.08E+08,4.28E+08,0,0,0,5868292.16,0,1.98E+08,7988089.995,0,0,2807457.292
40,559.2172546,2.5230582,2.41E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,622.0560691,3.686413573,2.25E+07,0,4.16E+07,0,0,0,0,0,0,0,0,0,1.88E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56E+07,0,0,0,0,0,0,0,0,1.28E+07,7104974.191,0,6003804.479,0,0,1.16E+07,0,0,0,0,4827875.91,0,0,4.41E+07,0,0,0,5.21E+07,0
42,463.123485,1.315681964,2.07E+07,0,1.30E+08,0,0,0,1572444.134,0,0,0,0,0,0,1.60E+07,0,0,0,0,470284.9579,881037.7262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49E+07,0,4336158.624,9.97E+07,0,0,1.65E+07,1.19E+07,0,0,0,0,0,2617231.977,2844109.946,3213229.847,0,0,0,0
43,593.2753245,13.66002437,3.06E+07,0,3.04E+07,0,3.81E+07,1.92E+07,0,1.00E+07,0,1.87E+07,0,0,1.67E+07,2122929.303,0,2.13E+07,0,6079242.193,0,2.76E+07,0,0,0,0,0,2.84E+07,1.70E+07,1.76E+07,2.70E+07,0,0,0,0,1.14E+07,3.42E+07,0,0,0,0,0,0,0,3.10E+07,0,2.33E+07,3004013.621,0,0,2138244.605,0,0,1.61E+07,9609210.908,8770877.626,0,0
44,353.0650626,2.160991682,1.51E+07,1.61E+07,0,5.26E+07,2.52E+07,1211066.668,9350432.632,4.78E+07,3679972.069,0,0,0,2403782.095,9.13E+07,0,2.27E+07,1.08E+08,9.82E+07,0,6.42E+07,0,0,0,2.37E+07,9.14E+08,2.09E+07,1281435.98,4.10E+07,2.30E+07,5.03E+07,0,0,0,0,3.63E+07,0,1.90E+07,1.82E+08,0,0,1.78E+07,7576830.809,0,0,0,0,1.62E+07,4.21E+07,7672106.089,4789185.933,0,0,0,7876527.459,1.29E+07,5073093.187
45,533.1080104,1.93901,1.38E+07,0,0,6855572.612,3623791.956,0,0,0,0,0,0,0,0,0,2259052.269,3884931.72,0,0,0,0,0,0,0,0,0,1664059.488,0,1.07E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,657.3029053,12.1488985,2.25E+07,0,0,0,4089978.089,0,2592542.892,3333264.631,2.78E+07,0,0,0,0,0,0,0,0,0,3.03E+07,0,0,0,0,0,0,1.36E+07,5.66E+07,5641134.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785000.86,0,0,0,0,0,0,0,0,0,0,0,0
47,487.2329553,4.307021487,1.95E+07,5766566.623,0,0,1704803.798,2126725.237,2532554.155,1.05E+07,1.87E+07,0,2228486.364,0,0,4164377.064,0,0,7456751.73,0,1.26E+07,0,0,0,0,0,3.09E+07,7232508.46,2.50E+07,4780707.421,0,0,1497773.603,0,0,0,0,0,0,0,1.25E+07,0,0,0,5636191.86,3.07E+07,2.65E+07,1.44E+07,2918016.657,0,0,0,0,1.80E+07,0,0,1.37E+07,0
48,694.4010947,4.071265557,1.78E+07,4047420.537,3240487.604,1.39E+07,0,0,2.99E+07,0,5.09E+07,0,0,0,0,8177310.255,0,0,0,0,2063099.661,0,0,0,0,0,5240019.733,9929299.614,0,0,0,0,0,0,0,0,4086203.08,0,3773157,2.32E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+07
49,653.3318398,11.35787964,2.57E+07,8935738.089,0,0,0,0,0,1.29E+07,2.60E+07,0,0,0,0,0,0,0,4334220.434,0,1.02E+07,0,0,0,0,0,0,3022575.275,4.76E+07,4109444.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E+07,0,0,0,0,0,0,0,0,0,0,0,2234717.999
50,485.2164612,2.6558403,1.29E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
